Player Name,Position,Team
Le'Veon Bell,RB,TB
Lance Dunbar,RB,
A.J. Rose,RB,
Aaron Shampklin,RB,
Salvon Ahmed,RB,IND
Bucky Irving,RB,TB
Doug Martin,RB,
Kendall Milton,RB,CIN
Knowshon Moreno,RB,
Dri Archer,RB,
Omarion Hampton,RB,LAC
Jaleel McLaughlin,RB,DEN
Dalyn Dawkins,RB,
Boston Scott,RB,
Brian Leonard,RB,
Melvin Gordon,RB,
TaMerik Williams,RB,
D.J. Foster,RB,
Duce Staley,RB,
Rex Burkhead,RB,
Demario Richard,RB,
DeAngelo Williams,RB,
Deshaun Fenwick,RB,
Jordan Wilkins,RB,
Josh Ferguson,RB,
Kalif Phillips,RB,
Darrin Reaves,RB,
Player Invalid,RB,
Theo Riddick,RB,
Brandon Cottom,RB,
Aaron Green,RB,
Glenn Winston,RB,
La'Mical Perine,RB,
Pierre Strong,RB,GB
Ameer Abdullah,RB,IND
Matt Forte,RB,
Dion Lewis,RB,
Rasheed Williams,RB,
Paul Perkins,RB,
Trey Sermon,RB,PIT
Darius Clark,RB,
Javon Leake,RB,
Joel Bouagnon,RB,
Audric Estime,RB,PHI
Player Invalid,RB,
Ray Rice,RB,
Jeremy Stewart,RB,
Justin Crawford,RB,
Xazavian Valladay,RB,MIN
Ronald Jones,RB,
Justice Hill,RB,BAL
Greg Jones,RB,
Calvin Tyler,RB,
James Cook,RB,BUF
Jashaun Corbin,RB,
JaQuan Hardy,RB,
Khalid Abdullah,RB,
John David Moore,RB,
Rachaad White,RB,TB
Ja'Quan Gardner,RB,
Mike Gillislee,RB,
Emani Bailey,RB,
Jordan Todman,RB,
Michael Herzog,RB,
Bruce Anderson,RB,
Jahwan Edwards,RB,
LeShun Daniels,RB,
Chris Brooks,RB,GB
Christian Wade,RB,
Chris Evans,RB,
Dylan Laube,RB,LV
Andrew Beck,RB,NYJ
Sione Houma,RB,
Ryan Williams,RB,
Marquis Young,RB,
Alfred Blue,RB,
Corey Taylor,RB,
Darnell Holland,RB,
Brandon Bolden,RB,
Kimani Vidal,RB,LAC
Fitzgerald Toussaint,RB,
Matt Jones,RB,
Isaiah Pead,RB,
Khalil Herbert,RB,
Sandro Platzgummer,RB,
Lew Nichols,RB,PIT
Isaiah Davis,RB,NYJ
Cedric Benson,RB,
Player Invalid,RB,
Derrius Guice,RB,
Jacardia Wright,RB,SEA
Clyde Edwards-Helaire,RB,KC
Silas Redd,RB,
Travon McMillian,RB,
David Johnson,RB,
Darrynton Evans,RB,
Xavier Jones,RB,
Paul Lasike,RB,
Austin Jones,RB,
Andre Williams,RB,
Cierre Wood,RB,
TreVeyon Henderson,RB,NE
J.D. McKissic,RB,
Marcus Major,RB,
I'Tavius Mathers,RB,
Cameron Marshall,RB,
Phillip Lindsay,RB,
D'Andre Swift,RB,CHI
Corey Kiner,RB,SF
Devin Singletary,RB,NYG
Marshaun Coprich,RB,
Ito Smith,RB,DAL
Rushel Shell,RB,
Jabari Small,RB,
Josh Rounds,RB,
Chris Ogbonnaya,RB,
Tra Barnett,RB,
Elijah Mitchell,RB,KC
Devontae Booker,RB,
Brian Robinson,RB,SF
Robert Burns,RB,
Devine Ozigbo,RB,
Martez Carter,RB,
Deion Hankins,RB,CHI
Nico Evans,RB,
Jeff Wilson,RB,MIA
Adrian Killins,RB,DEN
Carlos Hyde,RB,
Shane Wimann,RB,
Fozzy Whittaker,RB,
Michael Ford,RB,
Ronnie Brown,RB,
Brenden Knox,RB,
Senorise Perry,RB,
Player Invalid,RB,
Emil Igwenagu,RB,
Tarik Cohen,RB,
Brandon Wegher,RB,
James Wilder,RB,
Steven Jackson,RB,
Abou Toure,RB,
Mike James,RB,
Rushawn Baker,RB,
Titus Swen,RB,
Kairee Robinson,RB,
Isiah Pacheco,RB,KC
Jawon Chisholm,RB,
Lawrence Thomas,RB,
Kevin Monangai,RB,
Josh Adams,RB,
Juwan Thompson,RB,
Anthony Dixon,RB,
Benny LeMay,RB,CLE
Anthony Grant,RB,
Ben Tate,RB,
Trey Benson,RB,ARI
Brandon Brown-Dukes,RB,
Jahvid Best,RB,
Demetric Felton,RB,
Todd Gurley,RB,
Mark Ingram,RB,
Kevin Harris,RB,
Christopher Ezeala,RB,
Storm Johnson,RB,
Jay Ajayi,RB,
Trayone Gray,RB,
Marcus Yarns,RB,
Kenny Hilliard,RB,
Joseph Randle,RB,
Montrell Johnson,RB,
D'Onta Foreman,RB,
Branden Oliver,RB,
Gus Johnson,RB,
Jacob Saylors,RB,DET
Quali Conley,RB,
Darrin Hall,RB,
Ty Montgomery,RB,
Player Invalid,RB,
Gerrid Doaks,RB,
Kalen Ballage,RB,
Don Jackson,RB,
Patrick Carr,RB,
Synjyn Days,RB,
Brashard Smith,RB,KC
Deneric Prince,RB,NE
Player Invalid,RB,
Jeremy McNichols,RB,WAS
Kayron Lynch-Adams,RB,
Troy Hairston,RB,
Joe Williams,RB,
Matt Colburn,RB,
James Conner,RB,ARI
Soma Vainuku,RB,
Josh Robinson,RB,
Trey Edmunds,RB,
Matthew Dayes,RB,
Orleans Darkwa,RB,
Nyheim Hines,RB,
Sean Tucker,RB,TB
Michael Carter,RB,ARI
Tyrion Davis-Price,RB,
Jermar Jefferson,RB,
Nathan Carter,RB,ATL
Dexter McCluster,RB,
Garrett Groshek,RB,
Isaac Guerendo,RB,SF
Jeremy Cox,RB,
Player Invalid,RB,
Chris Thompson,RB,
Tre Stewart,RB,
Kenneth Dixon,RB,
Nick Chubb,RB,HOU
Cordarrelle Patterson,RB,
Max Borghi,RB,
Cameron Scarlett,RB,
Shane Watts,RB,
Craig Reynolds,RB,DET
Player Invalid,RB,
Lorenzo Taliaferro,RB,
Jordan Mason,RB,MIN
Greg Bell,RB,
Raymond Calais,RB,
Rico Dowdle,RB,CAR
Knile Davis,RB,
Mathieu Severance,RB,
Alexander Mattison,RB,MIA
Snoop Conner,RB,
Elijah Collins,RB,
Dexter Williams,RB,
Hassan Hall,RB,
John Kelly,RB,
Braelon Allen,RB,NYJ
Christian Powell,RB,
Mike Boone,RB,
Austin Ekeler,RB,WAS
Keaton Mitchell,RB,BAL
Bobby Rainey,RB,
Tahj Brooks,RB,CIN
Joique Bell,RB,
Tyler Badie,RB,DEN
Blake Corum,RB,LAR
Dalton Crossan,RB,
Kaleb Johnson,RB,PIT
Woody Marks,RB,HOU
Rajion Neal,RB,
Roc Thomas,RB,
Cody Schrader,RB,JAX
Darius Bradwell,RB,
British Brooks,RB,HOU
A.J. Ouellette,RB,
LeVante Bellamy,RB,
Tyler Allgeier,RB,ATL
Julius Chestnut,RB,TEN
RJ Harvey,RB,DEN
Devine Redding,RB,
Lavon Coleman,RB,
George Winn,RB,
Jason Huntley,RB,
Dylan McDuffie,RB,
Kelsey Young,RB,
Jerick McKinnon,RB,
Player Invalid,RB,
Brian Herrien,RB,
Frank Gore,RB,
Mike Weber,RB,
Dominique Brown,RB,
Spencer Brown,RB,
Tashard Choice,RB,
Kenjon Barner,RB,
Owen Wright,RB,
Ryan Nall,RB,
Darrius Sims,RB,
Marshawn Lynch,RB,
Marcus Martin,RB,
Nay'Quan Wright,RB,
Evan Hull,RB,
Tony Jones,RB,
Brandon Johnson,RB,
Derrick Henry,RB,BAL
Joey Iosefa,RB,
Ke'Shawn Vaughn,RB,
Trey Millard,RB,
Jerome Ford,RB,CLE
D'Ernest Johnson,RB,BAL
Louis Rees-Zammit,RB,
Robbie Ouzts,RB,SEA
Trestan Ebner,RB,
Jonathan Williams,RB,
JaMycal Hasty,RB,MIA
Karan Higdon,RB,
Toby Gerhart,RB,
Michael Robinson,RB,
Josh Caldwell,RB,
Dedrick Mills,RB,
Arian Foster,RB,
Player Invalid,RB,
Otis Anderson,RB,
Player Invalid,RB,
Devante Mays,RB,
Will Shipley,RB,PHI
Christian McCaffrey,RB,SF
Charles McClelland,RB,
Elijah McGuire,RB,KC
Romar Morris,RB,
Matt Breida,RB,
BJ Baylor,RB,
Jake Funk,RB,
Keith Marshall,RB,
Tevin Coleman,RB,
Saquon Barkley,RB,PHI
Kevin Marks,RB,
Kennedy Brooks,RB,
Damien Williams,RB,
Joe McKnight,RB,
Darius Victor,RB,
Ian Wheeler,RB,
C.J. Spiller,RB,
Christine Michael,RB,
Tony Pollard,RB,TEN
George Holani,RB,SEA
Daniel Lasco,RB,
Leon Washington,RB,
Karlos Williams,RB,
Darrell Henderson,RB,
Camerun Peoples,RB,
Jhurell Pressley,RB,
Adam Choice,RB,
Jonathan Grimes,RB,
Joshua Kelley,RB,
Marcus Marshall,RB,
Tony Creecy,RB,
Marion Grice,RB,
James Gilbert,RB,
Daryl Richardson,RB,
Michael Cox,RB,
LaMichael James,RB,
Jacory Croskey-Merritt,RB,WAS
Ezekiel Elliott,RB,
Antonio Gibson,RB,NE
Josh Williams,RB,TB
Malik Williams,RB,
Tiyon Evans,RB,
Phillip Tanner,RB,
Matt Colburn,RB,
Sincere McCormick,RB,SF
TD Ayo-Durojaiye,RB,
Ashton Jeanty,RB,LV
Zander Horvath,RB,
Chris Rodriguez,RB,WAS
Buddy Howell,RB,
Rashaad Penny,RB,
Brandon Burks,RB,
Lee Ward,RB,
Danny Woodhead,RB,
Zurlon Tipton,RB,
Connor Neighbors,RB,
Alex Barnes,RB,
Ronald Awatt,RB,
Donnel Pumphrey,RB,
Chris Carson,RB,
Mataeo Durant,RB,
James Robinson,RB,
Kerryon Johnson,RB,
Ollie Gordon,RB,MIA
Isaiah Crowell,RB,
Alfred Morris,RB,
Kelvin Taylor,RB,
Aca'Cedric Ware,RB,
Elijah Holyfield,RB,
Rob Kelley,RB,
Stevan Ridley,RB,
Lache Seastrunk,RB,
David Fluellen,RB,
Shannon Brooks,RB,
Tyler Gaffney,RB,
Khalan Laborn,RB,
Keaontay Ingram,RB,KC
Tyrone Tracy,RB,NYG
Quayvon Hicks,RB,
Nathan Cottrell,RB,
C.J. Anderson,RB,
De'Von Achane,RB,MIA
Dontrell Hilliard,RB,
Duke Johnson,RB,
Montee Ball,RB,
Anthony McFarland,RB,
Trey Ragas,RB,
Thomas Rawls,RB,
D'Vonte Price,RB,
Amar Johnson,RB,LAC
Jahad Thomas,RB,
Jeremy Langford,RB,
Gus Edwards,RB,
Jalen Richard,RB,LV
Daniel Thomas,RB,
Felix Jones,RB,
Stepfan Taylor,RB,
Dante Miller,RB,NYG
Jacques Patrick,RB,
Blake Renaud,RB,
Wes Hills,RB,
Bijan Robinson,RB,ATL
Devin Neal,RB,NO
Player Invalid,RB,
Mack Brown,RB,
Desmond Martin,RB,
Fred Jackson,RB,
